year_month,bite_count,dog_bites,cat_bites,high_risk_bites,head_bites,positive_results,doses_needed,year,month,month_sin,month_cos,lag1_doses,lag2_doses,lag3_doses,rolling3
2010-04,104,89,14,1,20,0,438,2010,4,0.8660254037844387,-0.4999999999999998,365.0,273.0,261.0,299.6666666666667
2010-05,125,103,20,2,20,0,524,2010,5,0.49999999999999994,-0.8660254037844387,438.0,365.0,273.0,358.6666666666667
2010-06,113,84,28,1,13,0,467,2010,6,1.2246467991473532e-16,-1.0,524.0,438.0,365.0,442.3333333333333
2010-07,116,81,35,0,17,0,481,2010,7,-0.4999999999999997,-0.8660254037844388,467.0,524.0,438.0,476.3333333333333
2010-08,104,83,16,4,16,0,439,2010,8,-0.8660254037844384,-0.5000000000000004,481.0,467.0,524.0,490.6666666666667
2010-09,78,58,18,1,9,0,322,2010,9,-1.0,-1.8369701987210297e-16,439.0,481.0,467.0,462.3333333333333
2010-10,104,85,18,0,13,0,428,2010,10,-0.8660254037844386,0.5000000000000001,322.0,439.0,481.0,414.0
2010-11,90,72,18,0,14,0,374,2010,11,-0.5000000000000004,0.8660254037844384,428.0,322.0,439.0,396.3333333333333
2010-12,84,67,16,1,13,0,349,2010,12,-2.4492935982947064e-16,1.0,374.0,428.0,322.0,374.6666666666667
2011-01,66,48,18,0,10,0,256,2011,1,0.49999999999999994,0.8660254037844387,349.0,374.0,428.0,383.6666666666667
2011-02,61,45,14,2,16,0,203,2011,2,0.8660254037844386,0.5000000000000001,256.0,349.0,374.0,326.3333333333333
2011-03,92,71,19,2,6,0,286,2011,3,1.0,6.123233995736766e-17,203.0,256.0,349.0,269.3333333333333
2011-04,105,86,17,1,10,0,326,2011,4,0.8660254037844387,-0.4999999999999998,286.0,203.0,256.0,248.33333333333334
2011-05,99,82,16,1,12,0,311,2011,5,0.49999999999999994,-0.8660254037844387,326.0,286.0,203.0,271.6666666666667
2011-06,114,94,19,1,16,0,360,2011,6,1.2246467991473532e-16,-1.0,311.0,326.0,286.0,307.6666666666667
2011-07,123,104,14,4,20,0,396,2011,7,-0.4999999999999997,-0.8660254037844388,360.0,311.0,326.0,332.3333333333333
2011-08,129,92,34,3,17,0,410,2011,8,-0.8660254037844384,-0.5000000000000004,396.0,360.0,311.0,355.6666666666667
2011-09,101,79,20,2,20,0,327,2011,9,-1.0,-1.8369701987210297e-16,410.0,396.0,360.0,388.6666666666667
2011-10,88,75,11,0,12,0,274,2011,10,-0.8660254037844386,0.5000000000000001,327.0,410.0,396.0,377.6666666666667
2011-11,81,63,16,1,16,0,260,2011,11,-0.5000000000000004,0.8660254037844384,274.0,327.0,410.0,337.0
2011-12,89,68,18,0,16,0,280,2011,12,-2.4492935982947064e-16,1.0,260.0,274.0,327.0,287.0
2012-01,89,64,15,0,12,0,269,2012,1,0.49999999999999994,0.8660254037844387,280.0,260.0,274.0,271.3333333333333
2012-02,71,54,15,0,13,0,224,2012,2,0.8660254037844386,0.5000000000000001,269.0,280.0,260.0,269.6666666666667
2012-03,108,88,11,0,11,0,326,2012,3,1.0,6.123233995736766e-17,224.0,269.0,280.0,257.6666666666667
2012-04,102,79,15,0,11,0,309,2012,4,0.8660254037844387,-0.4999999999999998,326.0,224.0,269.0,273.0
2012-05,104,79,15,0,13,0,315,2012,5,0.49999999999999994,-0.8660254037844387,309.0,326.0,224.0,286.3333333333333
2012-06,115,85,27,1,20,0,365,2012,6,1.2246467991473532e-16,-1.0,315.0,309.0,326.0,316.6666666666667
2012-07,116,99,16,0,21,0,368,2012,7,-0.4999999999999997,-0.8660254037844388,365.0,315.0,309.0,329.6666666666667
2012-08,98,75,22,0,5,0,298,2012,8,-0.8660254037844384,-0.5000000000000004,368.0,365.0,315.0,349.3333333333333
2012-09,99,78,19,0,8,0,303,2012,9,-1.0,-1.8369701987210297e-16,298.0,368.0,365.0,343.6666666666667
2012-10,100,83,14,0,8,0,305,2012,10,-0.8660254037844386,0.5000000000000001,303.0,298.0,368.0,323.0
2012-11,82,66,16,0,8,0,254,2012,11,-0.5000000000000004,0.8660254037844384,305.0,303.0,298.0,302.0
2012-12,96,80,15,0,13,0,300,2012,12,-2.4492935982947064e-16,1.0,254.0,305.0,303.0,287.3333333333333
2013-01,67,48,18,0,8,0,208,2013,1,0.49999999999999994,0.8660254037844387,300.0,254.0,305.0,286.3333333333333
2013-02,75,59,14,0,16,0,239,2013,2,0.8660254037844386,0.5000000000000001,208.0,300.0,254.0,254.0
2013-03,78,62,16,0,7,0,241,2013,3,1.0,6.123233995736766e-17,239.0,208.0,300.0,249.0
2013-04,110,84,26,0,7,0,337,2013,4,0.8660254037844387,-0.4999999999999998,241.0,239.0,208.0,229.33333333333334
2013-05,139,110,25,0,14,0,427,2013,5,0.49999999999999994,-0.8660254037844387,337.0,241.0,239.0,272.3333333333333
2013-06,123,96,25,0,21,0,388,2013,6,1.2246467991473532e-16,-1.0,427.0,337.0,241.0,335.0
2013-07,103,84,19,0,17,0,326,2013,7,-0.4999999999999997,-0.8660254037844388,388.0,427.0,337.0,384.0
2013-08,108,85,21,2,12,0,340,2013,8,-0.8660254037844384,-0.5000000000000004,326.0,388.0,427.0,380.3333333333333
2013-09,96,75,17,2,8,0,298,2013,9,-1.0,-1.8369701987210297e-16,340.0,326.0,388.0,351.3333333333333
2013-10,74,57,15,1,9,0,232,2013,10,-0.8660254037844386,0.5000000000000001,298.0,340.0,326.0,321.3333333333333
2013-11,84,75,8,0,10,0,261,2013,11,-0.5000000000000004,0.8660254037844384,232.0,298.0,340.0,290.0
2013-12,88,68,19,0,22,0,285,2013,12,-2.4492935982947064e-16,1.0,261.0,232.0,298.0,263.6666666666667
2014-01,70,55,14,1,16,0,228,2014,1,0.49999999999999994,0.8660254037844387,285.0,261.0,232.0,259.3333333333333
2014-02,70,56,13,0,16,0,225,2014,2,0.8660254037844386,0.5000000000000001,228.0,285.0,261.0,258.0
2014-03,99,78,16,1,22,0,317,2014,3,1.0,6.123233995736766e-17,225.0,228.0,285.0,246.0
2014-04,116,92,21,0,20,0,365,2014,4,0.8660254037844387,-0.4999999999999998,317.0,225.0,228.0,256.6666666666667
2014-05,135,111,20,1,16,0,420,2014,5,0.49999999999999994,-0.8660254037844387,365.0,317.0,225.0,302.3333333333333
2014-06,94,77,14,0,9,0,288,2014,6,1.2246467991473532e-16,-1.0,420.0,365.0,317.0,367.3333333333333
2014-07,116,89,24,0,17,0,362,2014,7,-0.4999999999999997,-0.8660254037844388,288.0,420.0,365.0,357.6666666666667
2014-08,129,103,22,3,14,0,406,2014,8,-0.8660254037844384,-0.5000000000000004,362.0,288.0,420.0,356.6666666666667
2014-09,95,74,19,1,10,0,296,2014,9,-1.0,-1.8369701987210297e-16,406.0,362.0,288.0,352.0
2014-10,99,79,19,1,16,0,315,2014,10,-0.8660254037844386,0.5000000000000001,296.0,406.0,362.0,354.6666666666667
2014-11,79,70,7,1,16,0,254,2014,11,-0.5000000000000004,0.8660254037844384,315.0,296.0,406.0,339.0
2014-12,74,58,14,1,16,0,239,2014,12,-2.4492935982947064e-16,1.0,254.0,315.0,296.0,288.3333333333333
2015-01,63,52,7,2,9,0,201,2015,1,0.49999999999999994,0.8660254037844387,239.0,254.0,315.0,269.3333333333333
2015-02,56,48,8,0,15,0,183,2015,2,0.8660254037844386,0.5000000000000001,201.0,239.0,254.0,231.33333333333334
2015-03,85,72,12,0,8,0,262,2015,3,1.0,6.123233995736766e-17,183.0,201.0,239.0,207.66666666666666
2015-04,111,92,17,0,9,0,340,2015,4,0.8660254037844387,-0.4999999999999998,262.0,183.0,201.0,215.33333333333334
2015-05,112,93,18,1,12,1,351,2015,5,0.49999999999999994,-0.8660254037844387,340.0,262.0,183.0,261.6666666666667
2015-06,119,91,28,0,20,0,377,2015,6,1.2246467991473532e-16,-1.0,351.0,340.0,262.0,317.6666666666667
2015-07,90,68,20,1,12,0,283,2015,7,-0.4999999999999997,-0.8660254037844388,377.0,351.0,340.0,356.0
2015-08,74,63,9,2,13,0,239,2015,8,-0.8660254037844384,-0.5000000000000004,283.0,377.0,351.0,337.0
2015-09,72,57,13,0,5,0,219,2015,9,-1.0,-1.8369701987210297e-16,239.0,283.0,377.0,299.6666666666667
2015-10,75,58,16,1,10,0,237,2015,10,-0.8660254037844386,0.5000000000000001,219.0,239.0,283.0,247.0
2015-11,69,52,14,2,7,0,217,2015,11,-0.5000000000000004,0.8660254037844384,237.0,219.0,239.0,231.66666666666666
2015-12,59,44,14,1,11,0,190,2015,12,-2.4492935982947064e-16,1.0,217.0,237.0,219.0,224.33333333333334
2016-01,81,66,14,0,17,0,259,2016,1,0.49999999999999994,0.8660254037844387,190.0,217.0,237.0,214.66666666666666
2016-02,59,50,8,1,11,0,190,2016,2,0.8660254037844386,0.5000000000000001,259.0,190.0,217.0,222.0
2016-03,120,101,19,0,11,0,371,2016,3,1.0,6.123233995736766e-17,190.0,259.0,190.0,213.0
2016-04,97,79,17,1,15,0,308,2016,4,0.8660254037844387,-0.4999999999999998,371.0,190.0,259.0,273.3333333333333
2016-05,108,90,14,3,11,0,340,2016,5,0.49999999999999994,-0.8660254037844387,308.0,371.0,190.0,289.6666666666667
2016-06,114,89,21,4,10,0,360,2016,6,1.2246467991473532e-16,-1.0,340.0,308.0,371.0,339.6666666666667
2016-07,104,79,21,4,11,0,331,2016,7,-0.4999999999999997,-0.8660254037844388,360.0,340.0,308.0,336.0
2016-08,86,66,11,8,18,0,293,2016,8,-0.8660254037844384,-0.5000000000000004,331.0,360.0,340.0,343.6666666666667
2016-09,77,59,16,1,13,0,245,2016,9,-1.0,-1.8369701987210297e-16,293.0,331.0,360.0,328.0
2016-10,88,77,8,2,14,0,281,2016,10,-0.8660254037844386,0.5000000000000001,245.0,293.0,331.0,289.6666666666667
2016-11,67,57,8,1,13,0,216,2016,11,-0.5000000000000004,0.8660254037844384,281.0,245.0,293.0,273.0
2016-12,50,37,11,2,3,0,157,2016,12,-2.4492935982947064e-16,1.0,216.0,281.0,245.0,247.33333333333334
2017-01,58,45,13,0,8,0,182,2017,1,0.49999999999999994,0.8660254037844387,157.0,216.0,281.0,218.0
2017-02,71,59,11,1,11,0,226,2017,2,0.8660254037844386,0.5000000000000001,182.0,157.0,216.0,185.0
